"emoji","name","keywords","category"
"{","open curly bracket","brace, bracket, curly, gullwing, open",""
"🏻","light skin tone","1–2, light, skin, tone, type","Component"
"🏼","medium-light skin tone","3, medium-light, skin, tone, type","Component"
"🏽","medium skin tone","4, medium, skin, tone, type","Component"
"🏾","medium-dark skin tone","5, medium-dark, skin, tone, type","Component"
"🏿","dark skin tone","6, dark, skin, tone, type","Component"
"‾","overline","overline, overstrike, vinculum",""
"_","low line","dash, line, low, underdash, underline",""
"-","hyphen-minus","dash, hyphen, hyphen-minus, minus",""
"‐","hyphen","dash, hyphen",""
"–","en dash","dash, en",""
"—","em dash","dash, em",""
"―","horizontal bar","bar, dash, horizontal, line",""
"・","katakana middle dot","dot, dots, interpunct, katakana, middle, middot",""
",","comma","comma",""
"،","arabic comma","arabic, comma",""
"、","ideographic comma","comma, ideographic",""
";","semicolon","semi-colon, semicolon",""
"؛","arabic semicolon","arabic, semi-colon, semicolon",""
":","colon","colon",""
"!","exclamation mark","bang, exclamation, mark, point",""
"¡","inverted exclamation mark","bang, exclamation, inverted, mark, point",""
"?","question mark","mark, question",""
"¿","inverted question mark","inverted, mark, question",""
"؟","arabic question mark","arabic, mark, question",""
"‽","interrobang","interabang, interrobang",""
".","period","dot, full, period, stop",""
"…","ellipsis","dots, ellipsis, omission",""
"。","ideographic period","full, ideographic, period, stop",""
"·","middle dot","dot, interpunct, middle, middot",""
"'","typewriter apostrophe","apostrophe, quote, single, typewriter",""
"‘","left apostrophe","apostrophe, left, quote, single, smart",""
"’","right apostrophe","apostrophe, quote, right, single, smart",""
"‚","low right apostrophe","apostrophe, low, quote, right",""
"“","left quotation mark","double, left, mark, quotation, quote, smart",""
"”","right quotation mark","double, mark, quotation, quote, right, smart",""
"„","low right quotation mark","double, low, mark, quotation, quote, right, smart",""
"«","left guillemet","angle, brackets, carets, chevron, guillemet, left, quote",""
"»","right guillemet","angle, brackets, carets, chevron, guillemet, quote, right",""
")","close parenthesis","bracket, close, paren, parens, parenthesis, round",""
"[","open square bracket","bracket, crotchet, open, square",""
"]","close square bracket","bracket, close, crotchet, square",""
"}","close curly bracket","brace, bracket, close, curly, gullwing",""
"〈","open angle bracket","angle, bracket, brackets, chevron, diamond, open, pointy, tuple",""
"〉","close angle bracket","angle, bracket, brackets, chevron, close, diamond, pointy, tuple",""
"《","open double angle bracket","angle, bracket, double, open",""
"》","close double angle bracket","angle, bracket, close, double",""
"「","open corner bracket","bracket, corner, open",""
"」","close corner bracket","bracket, close, corner",""
"『","open hollow corner bracket","bracket, corner, hollow, open",""
"』","close hollow corner bracket","bracket, close, corner, hollow",""
"【","open black lens bracket","black, bracket, lens, lenticular, open",""
"】","close black lens bracket","black, bracket, close, lens, lenticular",""
"〔","open tortoise shell bracket","bracket, open, shell, tortoise",""
"〕","close tortoise shell bracket","bracket, close, shell, tortoise",""
"〖","open hollow lens bracket","bracket, hollow, lens, lenticular, open",""
"〗","close hollow lens bracket","bracket, close, hollow, lens, lenticular",""
"§","section","paragraph, part, section, silcrow",""
"¶","paragraph mark","alinea, mark, paragraph, paraph, pilcrow",""
"@","at-sign","ampersat, arobase, arroba, at, at-sign, commercial, mark, sign, strudel",""
"*","asterisk","asterisk, star, wildcard",""
"/","slash","oblique, slash, solidus, stroke, virgule, whack",""
"\","backslash","backslash, reverse, solidus, whack",""
"&","ampersand","ampersand, and, et",""
"#","hash sign","hash, hashtag, lb, number, pound, sign",""
"%","percent","cent, per, per-cent, percent",""
"‰","per mille","mil, mille, per, permil, permille",""
"†","dagger sign","dagger, obelisk, obelus, sign",""
"‡","double dagger sign","dagger, double, obelisk, obelus, sign",""
"•","bullet","bullet, dot",""
"‧","hyphenation point","dash, hyphen, hyphenation, point",""
"′","prime","prime",""
"″","double prime","double, prime",""
"‴","triple prime","prime, triple",""
"‸","caret","caret",""
"※","reference mark","mark, reference",""
"⁂","asterism","asterism, dinkus, stars",""
"`","grave accent","accent, grave, tone",""
"´","acute accent","accent, acute, tone",""
"^","circumflex accent","accent, caret, chevron, circumflex, control, hat, pointer, power, sign, wedge, xor",""
"¨","diaeresis","diaeresis, tréma, umlaut",""
"°","degree","degree, hour, proof",""
"℗","sound recording copyright","copyright, recording, sound",""
"←","left-pointing arrow","arrow, left, left-pointing",""
"↚","leftwards arrow stroke","arrow, leftwards, stroke",""
"→","right-pointing arrow","arrow, right, right-pointing",""
"↛","rightwards arrow stroke","arrow, rightwards, stroke",""
"↑","up-pointing arrow","arrow, up, up-pointing",""
"↓","down-pointing arrow","arrow, down, down-pointing",""
"↜","leftwards wave arrow","arrow, leftwards, wave",""
"↝","rightwards wave arrow","arrow, rightwards, wave",""
"↞","leftwards two headed arrow","arrow, headed, leftwards, two",""
"↟","upwards two headed arrow","arrow, headed, two, upwards",""
"↠","rightwards two headed arrow","arrow, headed, rightwards, two",""
"↡","downwards two headed arrow","arrow, downwards, headed, two",""
"↢","leftwards arrow tail","arrow, leftwards, tail",""
"↣","rightwards arrow tail","arrow, rightwards, tail",""
"↤","leftwards arrow from bar","arrow, bar, from, leftwards",""
"↥","upwards arrow from bar","arrow, bar, from, upwards",""
"↦","rightwards arrow from bar","arrow, bar, from, rightwards",""
"↧","downwards arrow from bar","arrow, bar, downwards, from",""
"↨","up down arrow with base","arrow, base, down, up, with",""
"↫","leftwards arrow loop","arrow, leftwards, loop",""
"↬","rightwards arrow loop","arrow, loop, rightwards",""
"↭","left right wave arrow","arrow, left, right, wave",""
"↯","downwards zigzag arrow","arrow, downwards, zigzag",""
"↰","upwards arrow tip leftwards","arrow, leftwards, tip, upwards",""
